Start,End,Path
"(91.0, 82.0)","(87.0, 82.0)","[(91.0, 82.0), (90.0, 82.0), (89.0, 82.0), (88.0, 82.0), (87.0, 82.0)]"
"(91.0, 82.0)","(101.0, 118.0)","[(91.0, 82.0), (91.0, 83.0), (91.0, 84.0), (91.0, 85.0), (91.0, 86.0), (91.0, 87.0), (91.0, 88.0), (91.0, 89.0), (91.0, 90.0), (91.0, 91.0), (91.0, 92.0), (91.0, 93.0), (91.0, 94.0), (91.0, 95.0), (91.0, 96.0), (91.0, 97.0), (91.0, 98.0), (92.0, 98.0), (93.0, 98.0), (94.0, 98.0), (95.0, 98.0), (96.0, 98.0), (97.0, 98.0), (97.0, 99.0), (97.0, 100.0), (97.0, 101.0), (97.0, 102.0), (97.0, 103.0), (97.0, 104.0), (97.0, 105.0), (97.0, 106.0), (97.0, 107.0), (97.0, 108.0), (97.0, 109.0), (97.0, 110.0), (97.0, 111.0), (97.0, 112.0), (97.0, 113.0), (97.0, 114.0), (97.0, 115.0), (97.0, 116.0), (98.0, 116.0), (99.0, 116.0), (100.0, 116.0), (100.0, 117.0), (100.0, 118.0), (101.0, 118.0)]"
"(151.0, 86.0)","(149.0, 62.0)","[(151.0, 86.0), (150.0, 86.0), (149.0, 86.0), (149.0, 85.0), (149.0, 84.0), (149.0, 83.0), (149.0, 82.0), (149.0, 81.0), (149.0, 80.0), (149.0, 79.0), (149.0, 78.0), (149.0, 77.0), (149.0, 76.0), (149.0, 75.0), (149.0, 74.0), (149.0, 73.0), (149.0, 72.0), (149.0, 71.0), (149.0, 70.0), (149.0, 69.0), (149.0, 68.0), (149.0, 67.0), (149.0, 66.0), (149.0, 65.0), (149.0, 64.0), (149.0, 63.0), (149.0, 62.0)]"
"(145.0, 62.0)","(137.0, 58.0)","[(145.0, 62.0), (144.0, 62.0), (143.0, 62.0), (142.0, 62.0), (141.0, 62.0), (140.0, 62.0), (139.0, 62.0), (138.0, 62.0), (137.0, 62.0), (137.0, 61.0), (137.0, 60.0), (137.0, 59.0), (137.0, 58.0)]"
"(85.0, 58.0)","(77.0, 82.0)","[(85.0, 58.0), (84.0, 58.0), (83.0, 58.0), (82.0, 58.0), (81.0, 58.0), (80.0, 58.0), (79.0, 58.0), (78.0, 58.0), (77.0, 58.0), (77.0, 59.0), (77.0, 60.0), (77.0, 61.0), (77.0, 62.0), (77.0, 63.0), (77.0, 64.0), (77.0, 65.0), (77.0, 66.0), (77.0, 67.0), (77.0, 68.0), (77.0, 69.0), (77.0, 70.0), (77.0, 71.0), (77.0, 72.0), (77.0, 73.0), (77.0, 74.0), (77.0, 75.0), (77.0, 76.0), (77.0, 77.0), (77.0, 78.0), (77.0, 79.0), (77.0, 80.0), (77.0, 81.0), (77.0, 82.0)]"
"(73.0, 82.0)","(97.0, 86.0)","[(73.0, 82.0), (73.0, 83.0), (73.0, 84.0), (73.0, 85.0), (73.0, 86.0), (74.0, 86.0), (75.0, 86.0), (76.0, 86.0), (77.0, 86.0), (78.0, 86.0), (79.0, 86.0), (80.0, 86.0), (81.0, 86.0), (82.0, 86.0), (83.0, 86.0), (84.0, 86.0), (85.0, 86.0), (86.0, 86.0), (87.0, 86.0), (88.0, 86.0), (89.0, 86.0), (90.0, 86.0), (91.0, 86.0), (92.0, 86.0), (93.0, 86.0), (94.0, 86.0), (95.0, 86.0), (96.0, 86.0), (97.0, 86.0)]"
"(37.0, 82.0)","(105.0, 86.0)","[(37.0, 82.0), (37.0, 83.0), (37.0, 84.0), (37.0, 85.0), (38.0, 85.0), (39.0, 85.0), (40.0, 85.0), (41.0, 85.0), (42.0, 85.0), (43.0, 85.0), (44.0, 85.0), (45.0, 85.0), (46.0, 85.0), (47.0, 85.0), (48.0, 85.0), (49.0, 85.0), (50.0, 85.0), (51.0, 85.0), (52.0, 85.0), (53.0, 85.0), (54.0, 85.0), (55.0, 85.0), (56.0, 85.0), (57.0, 85.0), (58.0, 85.0), (59.0, 85.0), (60.0, 85.0), (61.0, 85.0), (62.0, 85.0), (63.0, 85.0), (64.0, 85.0), (65.0, 85.0), (66.0, 85.0), (67.0, 85.0), (68.0, 85.0), (69.0, 85.0), (70.0, 85.0), (71.0, 85.0), (72.0, 85.0), (73.0, 85.0), (74.0, 85.0), (75.0, 85.0), (76.0, 85.0), (77.0, 85.0), (78.0, 85.0), (79.0, 85.0), (80.0, 85.0), (81.0, 85.0), (82.0, 85.0), (83.0, 85.0), (84.0, 85.0), (85.0, 85.0), (86.0, 85.0), (87.0, 85.0), (88.0, 85.0), (89.0, 85.0), (90.0, 85.0), (91.0, 85.0), (92.0, 85.0), (93.0, 85.0), (94.0, 85.0), (95.0, 85.0), (96.0, 85.0), (97.0, 85.0), (98.0, 85.0), (98.0, 86.0), (99.0, 86.0), (100.0, 86.0), (101.0, 86.0), (102.0, 86.0), (103.0, 86.0), (104.0, 86.0), (105.0, 86.0)]"
"(67.0, 84.0)","(53.0, 82.0)","[(67.0, 84.0), (66.0, 84.0), (65.0, 84.0), (64.0, 84.0), (63.0, 84.0), (62.0, 84.0), (61.0, 84.0), (60.0, 84.0), (59.0, 84.0), (58.0, 84.0), (57.0, 84.0), (56.0, 84.0), (55.0, 84.0), (54.0, 84.0), (53.0, 84.0), (53.0, 83.0), (53.0, 82.0)]"
"(159.0, 122.0)","(147.0, 134.0)","[(159.0, 122.0), (158.0, 122.0), (157.0, 122.0), (156.0, 122.0), (155.0, 122.0), (154.0, 122.0), (153.0, 122.0), (152.0, 122.0), (151.0, 122.0), (150.0, 122.0), (149.0, 122.0), (149.0, 123.0), (148.0, 123.0), (147.0, 123.0), (147.0, 124.0), (147.0, 125.0), (147.0, 126.0), (147.0, 127.0), (147.0, 128.0), (147.0, 129.0), (147.0, 130.0), (147.0, 131.0), (147.0, 132.0), (147.0, 133.0), (147.0, 134.0)]"
"(143.0, 134.0)","(135.0, 130.0)","[(143.0, 134.0), (143.0, 133.0), (142.0, 133.0), (141.0, 133.0), (140.0, 133.0), (139.0, 133.0), (138.0, 133.0), (137.0, 133.0), (136.0, 133.0), (135.0, 133.0), (135.0, 132.0), (135.0, 131.0), (135.0, 130.0)]"
"(47.0, 96.0)","(59.0, 130.0)","[(47.0, 96.0), (47.0, 97.0), (47.0, 98.0), (47.0, 99.0), (47.0, 100.0), (47.0, 101.0), (47.0, 102.0), (47.0, 103.0), (47.0, 104.0), (47.0, 105.0), (47.0, 106.0), (47.0, 107.0), (47.0, 108.0), (47.0, 109.0), (47.0, 110.0), (47.0, 111.0), (47.0, 112.0), (47.0, 113.0), (47.0, 114.0), (47.0, 115.0), (47.0, 116.0), (47.0, 117.0), (47.0, 118.0), (47.0, 119.0), (47.0, 120.0), (47.0, 121.0), (47.0, 122.0), (47.0, 123.0), (47.0, 124.0), (47.0, 125.0), (47.0, 126.0), (47.0, 127.0), (47.0, 128.0), (47.0, 129.0), (47.0, 130.0), (48.0, 130.0), (49.0, 130.0), (50.0, 130.0), (51.0, 130.0), (52.0, 130.0), (53.0, 130.0), (54.0, 130.0), (55.0, 130.0), (56.0, 130.0), (57.0, 130.0), (58.0, 130.0), (59.0, 130.0)]"
"(147.0, 122.0)","(141.0, 122.0)","[(147.0, 122.0), (146.0, 122.0), (145.0, 122.0), (144.0, 122.0), (143.0, 122.0), (142.0, 122.0), (141.0, 122.0)]"
"(141.0, 122.0)","(141.0, 134.0)","[(141.0, 122.0), (141.0, 123.0), (141.0, 124.0), (141.0, 125.0), (141.0, 126.0), (141.0, 127.0), (141.0, 128.0), (141.0, 129.0), (141.0, 130.0), (141.0, 131.0), (141.0, 132.0), (141.0, 133.0), (141.0, 134.0)]"
